,pickup_year,pickup_month,pickup_day,pickup_dayofweek,pickup_time,pickup_location_code,dropoff_location_code,trip_distance,trip_length,fare_amount,fees_amount,tolls_amount,tip_amount,total_amount,payment_type
100,2016,1,1,5,3,3,1,17.70,2398,52.50,0.80,0.00,0.00,53.30,2
101,2016,1,1,5,3,4,3,8.60,861,25.00,0.80,5.54,7.80,39.14,1
102,2016,1,1,5,3,4,3,8.64,1113,25.00,0.80,5.54,6.27,37.61,1
103,2016,1,1,5,3,4,2,17.12,1729,52.00,0.80,5.54,11.67,70.01,1
104,2016,1,1,5,3,3,4,9.10,1039,26.50,0.80,5.54,8.20,41.04,1
105,2016,1,1,5,3,4,2,20.20,2194,52.00,0.80,5.54,11.65,69.99,1
106,2016,1,1,5,3,3,4,7.69,725,22.00,0.80,5.54,0.00,28.34,2
107,2016,1,1,5,3,4,3,8.73,990,25.50,0.80,5.54,3.00,34.84,1
108,2016,1,1,5,3,4,3,11.33,1326,32.00,0.80,5.54,7.67,46.01,1
109,2016,1,1,5,3,4,2,16.30,1532,52.00,0.80,0.00,0.00,52.80,2
110,2016,1,1,5,3,2,4,17.46,1595,52.00,0.80,5.54,11.67,70.01,1
111,2016,1,1,5,3,3,4,8.16,888,24.00,0.80,5.54,7.58,37.92,1
112,2016,1,1,5,3,3,6,5.48,580,16.50,0.80,0.00,3.46,20.76,1
113,2016,1,1,5,3,2,1,9.90,1019,29.00,0.80,0.00,0.00,29.80,2
114,2016,1,1,5,3,4,2,16.70,1433,52.00,0.80,0.00,0.00,52.80,2
115,2016,1,1,5,3,4,2,17.30,2160,52.00,0.80,5.54,0.00,58.34,2
116,2016,1,1,5,3,4,3,11.04,1320,32.00,0.80,5.54,7.67,46.01,1
117,2016,1,1,5,3,2,3,12.99,1094,35.50,0.80,0.00,0.00,36.30,2
118,2016,1,1,5,3,3,4,12.20,1824,37.50,0.80,5.54,8.75,52.59,1
119,2016,1,1,5,3,2,4,19.90,2291,52.00,0.80,5.54,0.00,58.34,2
120,2016,1,1,5,3,2,4,17.30,1882,52.00,0.80,5.54,10.00,68.34,1
121,2016,1,1,5,3,2,4,17.70,1840,52.00,0.80,5.54,7.00,65.34,1
122,2016,1,1,5,3,4,3,9.75,1069,28.00,0.80,5.54,0.00,34.34,2
